FAILED: 509e3c2a-1c02-4951-8471-730cadbc956f_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: 6bea9962-a999-4ccb-92d8-0778b11f6166_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: 6f0b55fe-c873-4fd3-ab6e-fe9081c70d75_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: 02bb894b-6bba-430d-bc0b-3e7568b78cb2_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: 61f6dbb7-a0d8-423f-a39a-071b1b148c5e_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: e9e9de34-ab7d-4a75-9582-958eb540a7e8_Basecall_2D_000_2d --> {'distance': True, 'position': True}
FAILED: e8a05751-40d0-4695-809f-456233128b61_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: a29a3ca6-f438-4f98-8f5a-1e873d35ea28_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: f3ce2c08-d59b-4e4e-bff5-9e1e8b5fd9b2_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: dbefc5f4-ea73-48f4-8e4b-5dcdedfa04ba_Basecall_2D_000_2d --> {'distance': False, 'position': True}
FAILED: 52cbf94a-1bb9-45b1-af2d-f62380228df5_Basecall_2D_000_2d --> {'distance': True, 'position': True}
FAILED: 26043a2d-16f2-4ffd-a5de-ab31ddef6b0c_Basecall_2D_000_2d --> {'distance': False, 'position': True}
